account_title,account_number,normal_balance,description,is_active,expense_class,default_nature,default_apply_reserve
Drugs and Medicines Expenses,5-02-03-070,Debit,This account is used to record the costs of drugs and medicines issued to end- users for government operations.,TRUE,MOOE,,FALSE
"Medical, Dental and Laboratory Supplies Expenses",5-02-03-080,Debit,"This account is used to record the costs of medical, dental and laboratory supplies issued to end-users for government operations.",TRUE,MOOE,,FALSE
"Fuel, Oil and Lubricants Expenses",5-02-03-090,Debit,"This account is used to record the costs of fuel, oil and lubricants issued for use of government vehicles and other equipment in connection with government operations/projects.",TRUE,MOOE,,TRUE
Agricultural and Marine Supplies Expenses,5-02-03-100,Debit,,TRUE,MOOE,,TRUE
Textbooks and Instructional Materials Expenses,5-02-03-110,Debit,"This account is used to record the cost of books and instructional materials distributed to public schools including flipcharts, video clips/slides, and the like.",TRUE,MOOE,,TRUE
"Military, Police and Traffic Supplies Expenses",5-02-03-120,Debit,"This account is used to record the cost or value of military and police supplies issued/used in government operations such as clubs/cudgels, night sticks, police/ traffic gears, flashlights, truncheons, ammunitions and the like.",TRUE,MOOE,,TRUE
Chemical and Filtering Supplies Expenses,5-02-03-130,Debit,This account is used to record the cost of chemical and filtering supplies used in government operations.,TRUE,MOOE,,TRUE
Semi-Expendable Machinery and Equipment Expense,5-02-03-210,Debit,"This account is debited to recognize the cost of semi-expendable machinery and equipment used in LGU operations. This account is credited, at year end, to close to the Income and Expense Summary account, among others. Subsidiary Ledgers: 01-Machinery 02-Office Equipment 03-Information and Communications Technology Equipment 04-Agricultural and Forestry Equipment 05-Marine and Fishery Equipment 06-Airport Equipment 07-Communications Equipment 08-Disaster Response and Rescue Equipment 09-Military, Police and Security Equipment 10-Medical, Dental and Laboratory Equipment 11-Printing Equipment 12-Sports Equipment 13-Technical and Scientific Equipment 14-Construction Equipment 99-Other Machinery and Equipment",TRUE,MOOE,,TRUE
"Semi-Expendable Books, Furnitures and Fixtures",5-02-03-220,Debit,"This account is debited to recognize the cost of semi-expendable furniture, fixtures and books used in LGU operations. This account is credited, at year end, to close to the Income and Expense Summary account, among others. Subsidiary Ledgers: 01-Furniture and Fixtures 02-Books",TRUE,MOOE,,TRUE
Other Supplies and Materials Expense,5-02-03-990,Debit,This account is used to record the cost of inventories issued to end-users not otherwise classified under the specific inventory expense accounts.,TRUE,MOOE,,TRUE
Water Expenses,5-02-04-010,Debit,This account is used to record cost of water consumed in government operations/projects.,TRUE,MOOE,,FALSE
Electricity Expenses,5-02-04-020,Debit,This account is used to record the cost of electricity consumed in government operations/projects.,TRUE,MOOE,,FALSE
Postage and Courier Service,5-02-05-010,Debit,,TRUE,MOOE,,FALSE
Telephone Expenses,5-02-05-020,Debit,"This account is used to record the cost of transmitting messages thru telephone lines (mobile or landlines), faxes, telex and the like whether prepaid or postpaid.",TRUE,MOOE,,FALSE
Internet Subscription Expenses,5-02-05-030,Debit,This account is used to record the cost of using internet services in government operations.,TRUE,MOOE,,FALSE
"Cable, Satellite, Telegraph and Radio Expenses",5-02-05-040,Debit,This account is used to record the cost of using cable/satellite/ telegram/radio services.,TRUE,MOOE,,FALSE
Awards and Rewards Expenses,5-02-06-010,Debit,"This account is used to record the amount given in recognition of any civic or professional achievement and of rewards to informers for the receipt of reliable information leading to successful arrest/capture of fugitives, seizure/confiscation of smuggled goods, or collection of unpaid taxes/surcharges/fines/penalties.",TRUE,MOOE,,FALSE
Prizes,5-02-06-020,Debit,This account is used to record the amount paid to winners of competitive and promotional activities.,TRUE,MOOE,,FALSE
Survey Expenses,5-02-07-010,Debit,"This account is used to record the cost incurred in the conduct of cadastral, structural, topographical, statistical and other type of surveys conducted by government agencies.",TRUE,MOOE,,TRUE
"Research, Exploration and Development Expenses",5-02-07-020,Debit,"This account is used to record the cost incurred in the conduct of studies to gain scientific or technical knowledge on future projects including development, refinement or evaluation of policies for use of management.",TRUE,MOOE,,TRUE
Demolition and Relocation Expenses,5-02-08-010,Debit,This account is used to record the costs of demolition of structures and relocation of structures and settlers affected by government projects.,TRUE,MOOE,,TRUE
Desilting and Dredging Expenses,5-02-08-020,Debit,"This account is used to record the costs incurred in removing large accumulation of decomposed litters and other organic debris in and deepening of canals, sewerage, rivers, creeks, and the like.",TRUE,MOOE,,TRUE
"Generation, Transmission and Distribution Expenses",5-02-09-010,Debit,"This account is used to record the costs of generation, transmission and distribution of water, electricity, information/ communication, power and other related services intended for sale and/or redistribution.",TRUE,MOOE,,TRUE
Confidential Expenses,5-02-10-010,Debit,This account is used to record the amount paid for expenses related to surveillance activities in civilian government agencies that are intended to support the mandate or operations of the agency.,TRUE,MOOE,,TRUE
Intelligence Expenses,5-02-10-020,Debit,This account is used to record the amount paid for expenses related to surveillance activities in civilian government agencies that are intended to support the mandate or operations of the agency.,TRUE,MOOE,,TRUE
Extraordinary and Miscellaneous Expenses,5-02-10-030,Debit,"This account is used to record the amount paid for expenses incidental to the performance of official functions, such as: meetings and conferences, public relations, educational, cultural and athletic activities, membership fees in government organizations, etc.",TRUE,MOOE,,TRUE
Legal Services,5-02-11-010,Debit,This account is used to record the cost incurred for authorized legal services rendered by private lawyers. This includes special counsel allowance granted to government lawyers deputized to represent the government in court as special counsel.,TRUE,MOOE,,FALSE
Auditing Services,5-02-11-020,Debit,This account is used to record the cost of operating expenses provided by auditees for auditing services rendered by the Commission on Audit.,TRUE,MOOE,,FALSE
Consultancy Services,5-02-11-030,Debit,This account is used to record the cost of services rendered by consultants contracted to perform particular outputs or services primarily advisory in nature and requiring highly specialized or technical expertise which cannot be provided by the regular staff of the agency.,TRUE,MOOE,,FALSE
Other Professional Services,5-02-11-990,Debit,"This account is used to record the cost of other professional services contracted by the agency not otherwise classified under any of the specific professional services accounts. This includes honoraria paid by local government units (LGUs) to national government personnel (judges, prosecutors, public elementary and high school teachers and other national government personnel) assigned in LGUs. This also includes other operating expenses granted to national government agencies stationed in the LGU.",TRUE,MOOE,,FALSE
Environment/Sanitary Services,5-02-12-010,Debit,,TRUE,MOOE,,TRUE
Janitorial Services,5-02-12-020,Debit,This account is used to record the cost of janitorial services contracted by the government.,TRUE,MOOE,,TRUE
Security Services,5-02-12-030,Debit,This account is used to record the cost of security services contracted by the government.,TRUE,MOOE,,TRUE
