account_title,account_number,normal_balance,description,is_active,expense_class,default_nature,default_apply_reserve
Manufacturing Overhead,5-04-01-030,Debit,"This account is used to record the cost incurred in the manufacture of a product other than the costs of direct materials and direct labor. Examples of manufacturing overhead include the depreciation or the rent on the factory building, depreciation on the factory equipment, supervisors in the factory, the factory quality control department, factory maintenance employees, electricity and gas for the factory, indirect factory supplies, and the like.",TRUE,Other,,FALSE
Cost of Sales,5-04-02-010,Debit,This account is used to record the cost of merchandise purchased and resold in the course of business operations.,TRUE,Other,,FALSE
Depreciation - Investment Property,5-05-01-010,Debit,This account is used to record the periodic allocation of cost for the wear and tear of buildings/warehouses and other structures held for rent/lease or held for capital appreciation or both in accordance with the prescribed policy on depreciation by COA. Subsidiary ledger: 01 - Building 02 - Other Structures,TRUE,Other,,FALSE
Depreciation - Land Improvements,5-05-01-020,Debit,This account is used to record the periodic allocation of cost for the wear and tear of aquaculture structures and other land improvements constructed/ acquired/ developed for public use in accordance with the prescribed policy on depreciation by COA. Subsidiary ledger: 01- Aquaculture Structures 02- Other Land Improvement,TRUE,Other,,FALSE
Depreciation - Infrastructure Assets,5-05-01-030,Debit,"This account is used to record the periodic allocation of cost for the wear and tear of road networks; sewer systems; water supply systems; power supply systems; communication networks; seaport systems; airport systems; parks, plazas, monuments; and other infrastructure assets in accordance with the prescribed policy on depreciation by COA. Subsidiary ledger: 01 - Road Networks 02 - Sewer Systems 03 - Water Supply systems 04 - Power Supply Systems 05 - Communication Networks 06 - Seaport Systems 07 - Airport Systems 08 - Parks, Plazas, Monuments 99 - Other Infrastructure Assets",TRUE,Other,,FALSE
Depreciation - Buildings and Structures,5-05-01-040,Debit,,TRUE,Other,,FALSE
Depreciation - Machinery and Equipment,5-05-01-050,Debit,"This account is used to record the periodic allocation of cost for the wear and tear of office equipment; ICT equipment ; agricultural and forestry equipment; marine and fishery equipment; airport equipment; communication equipment; construction and heavy equipment; firefighting equipment and accessories ; military, police and security equipment; medical equipment; printing equipment; sports equipment; technical and scientific equipment; and other machinery and equipment. Subsidiary ledger: 01 - Office Equipment 02 - ICT Equipment 03 - Agricultural and Forestry Equipment 04 - Marine and Fishery Equipment 05 - Airport Equipment 06 - Communication Equipment 07 - Construction and Heavy Equipment 08 - Firefighting Equipment and Accessories 09 - Military, Police and Security Equipment",TRUE,Other,,FALSE
Depreciation - Transportation Equipment,5-05-01-060,Debit,This account is used to record the periodic allocation of cost for the wear and tear of motor vehicles; train; aircraft; watercraft; and other transportation equipment in accordance with the prescribed policy on depreciation by COA. Subsidiary ledger: 01 - Motor Vehicles 02 - Train 03 - Aircraft 04 - Watercraft,TRUE,Other,,FALSE
"Depreciation - Furniture, Fixtures and Books",5-05-01-070,Debit,This account is used to record the periodic allocation of cost for the wear and tear of furniture and fixtures; and books in accordance with the prescribed policy on depreciation by COA. Subsidiary ledger: 01 - Furniture and Fixtures 02 - Books,TRUE,Other,,FALSE
Depreciation - Leased Assets,5-05-01-080,Debit,"This account is used to record the periodic allocation of cost for the wear and tear of buildings, and other leased assets under finance lease contract/agreement in accordance with the prescribed policy on depreciation by COA. Subsidiary ledger: 01 - Buildings and Structures 02 - Machinery and equipment 03 - Transportation Equipment 99 - Other Leasehold Improvements",TRUE,Other,,FALSE
